Action|Param|Time|Date
CreateEmp|300|9.612509099999443|15/08/2020 22:45:35
ActionCreation|4|1.8727538000002824|15/08/2020 22:45:37
ResetDB||0.020849900000001753|16/08/2020 21:09:14
CreateEmp|300|10.022118599999999|16/08/2020 21:09:24
ResetDB||0.017907400000012785|16/08/2020 21:15:31
CreateEmp|300|6.495460900000012|16/08/2020 21:15:38
ResetDB||0.018499399999996058|16/08/2020 21:20:49
CreateEmp|300|7.326475100000039|16/08/2020 21:20:56
ResetDB||0.02416670000002341|16/08/2020 21:28:45
CreateEmp|300|6.790465699999913|16/08/2020 21:28:51
ActionCreation|4|1.8517570000001342|16/08/2020 21:28:53
ResetDB||0.04024969999954919|17/08/2020 21:05:27
ResetDB||0.01422030000048835|17/08/2020 21:06:03
ResetDB||0.014729100000295148|17/08/2020 21:06:54
ResetDB||0.013303200000336801|17/08/2020 21:07:33
ResetDB||0.013954199999716366|17/08/2020 21:08:14
CreateEmp|300|5.554654599999594|17/08/2020 21:08:20
ActionCreation|4|0.8640776000002006|17/08/2020 21:08:21
ResetDB||0.019333399999595713|17/08/2020 22:08:33
CreateEmp|300|6.306892000000516|17/08/2020 22:08:40
ResetDB||0.020376099999339203|17/08/2020 22:09:44
CreateEmp|300|7.203106900000421|17/08/2020 22:09:51
ResetDB||0.025306999999884283|17/08/2020 22:10:29
CreateEmp|300|5.87252239999907|17/08/2020 22:10:35
ResetDB||0.01766459999998915|17/08/2020 22:13:53
CreateEmp|300|5.647070900000472|17/08/2020 22:13:58
ResetDB||0.02111739999963902|17/08/2020 22:15:08
CreateEmp|300|5.769136900000376|17/08/2020 22:15:14
ResetDB||0.01898799999980838|17/08/2020 22:17:52
CreateEmp|300|5.951725099999749|17/08/2020 22:17:58
ResetDB||0.024186799999370123|17/08/2020 22:23:39
CreateEmp|300|5.68419619999986|17/08/2020 22:23:45
ResetDB||0.018730499999946915|17/08/2020 22:24:19
CreateEmp|300|5.769386699999814|17/08/2020 22:24:24
ResetDB||0.019388599999729195|17/08/2020 22:25:05
CreateEmp|300|5.71134130000064|17/08/2020 22:25:11
ResetDB||0.03911859999971057|17/08/2020 22:25:30
CreateEmp|300|5.668203100000028|17/08/2020 22:25:36
ResetDB||0.01877030000105151|17/08/2020 22:25:51
CreateEmp|300|5.601302500001111|17/08/2020 22:25:56
ResetDB||0.02293160000044736|17/08/2020 22:28:44
CreateEmp|300|5.729368899999827|17/08/2020 22:28:50
ResetDB||0.020126599998548045|17/08/2020 22:29:33
CreateEmp|300|5.820550200000071|17/08/2020 22:29:38
ResetDB||0.02097429999957967|17/08/2020 22:43:56
CreateEmp|300|5.746939500000735|17/08/2020 22:44:02
ResetDB||0.02143189999878814|17/08/2020 22:44:20
CreateEmp|300|5.654476699999577|17/08/2020 22:44:26
ResetDB||0.01991730000008829|17/08/2020 22:48:10
ResetDB||0.014897600000040256|17/08/2020 22:49:22
CreateEmp|300|5.55511850000039|17/08/2020 22:49:27
ResetDB||0.02274750000105996|17/08/2020 22:52:13
CreateEmp|300|5.744021099999372|17/08/2020 22:52:19
ResetDB||0.021040300000095158|17/08/2020 22:52:25
CreateEmp|300|5.552451499999734|17/08/2020 22:52:30
ResetDB||0.019323000000440516|17/08/2020 22:52:40
CreateEmp|300|5.808214000000589|17/08/2020 22:52:46
ResetDB||0.02062339999974938|17/08/2020 22:54:37
CreateEmp|300|5.76575369999955|17/08/2020 22:54:43
ActionCreation|2|0.48023859999921115|17/08/2020 22:54:43
ResetDB||0.019538500000635395|17/08/2020 22:57:29
CreateEmp|300|5.45095290000063|17/08/2020 22:57:35
ResetDB||0.019897399999535992|17/08/2020 22:58:10
CreateEmp|300|5.635138799998458|17/08/2020 22:58:16
ActionCreation|2|0.47669020000103046|17/08/2020 22:58:16
ResetDB||0.08624210000016319|17/08/2020 23:03:08
CreateEmp|300|5.75108039999941|17/08/2020 23:03:13
ResetDB||0.02015879999999015|17/08/2020 23:05:23
CreateEmp|300|5.610308299999815|17/08/2020 23:05:29
ActionCreation|2|0.4873485999996774|17/08/2020 23:05:29
ResetDB||0.019514499999786494|18/08/2020 19:59:13
CreateEmp|300|5.969998499999747|18/08/2020 19:59:19
ActionCreation|2|0.4396223999997346|18/08/2020 19:59:19
ResetDB||0.023855399999774818|18/08/2020 20:09:14
CreateEmp|400|7.761713800000052|18/08/2020 20:09:21
ActionCreation|3|0.9295634000000064|18/08/2020 20:09:22
ResetDB||0.025181699999848206|18/08/2020 20:15:56
ResetDB||0.014046800000414805|18/08/2020 20:16:51
CreateEmp|400|7.635084000000006|18/08/2020 20:16:59
ActionCreation|3|0.9579492000002574|18/08/2020 20:16:59
ResetDB||0.02123799999981202|18/08/2020 20:19:27
ResetDB||0.014357900000049995|18/08/2020 20:22:20
ResetDB||0.015045699999973294|18/08/2020 20:25:09
ResetDB||0.016784099999313185|18/08/2020 20:27:16
ResetDB||0.01526190000004135|18/08/2020 20:27:23
ResetDB||0.016439600000012433|18/08/2020 20:28:36
ResetDB||0.015621900000041933|18/08/2020 20:29:52
ResetDB||0.015289300000404182|18/08/2020 20:31:18
ResetDB||0.016122600000016973|18/08/2020 20:32:03
ResetDB||0.015461300000424671|18/08/2020 20:32:48
ResetDB||0.013621400000374706|18/08/2020 20:33:05
ResetDB||0.014801799999986542|18/08/2020 20:33:40
ResetDB||0.014123799999651965|18/08/2020 20:34:02
ResetDB||0.0145384000006743|18/08/2020 20:38:09
ResetDB||0.039808499999992364|28/08/2020 15:01:52
ResetDB||0.02924350000000686|28/08/2020 15:03:20
ResetDB||0.022082399999987956|28/08/2020 15:06:21
ResetDB||0.0358033999999634|28/08/2020 15:06:48
ResetDB||0.018276300000025003|28/08/2020 15:07:02
ResetDB||0.021550300000001243|28/08/2020 15:07:08
ResetDB||0.015949500000033368|28/08/2020 15:10:46
ResetDB||0.022266600000023118|29/08/2020 10:25:21
ResetDB||0.16911090000030526|29/08/2020 13:01:54
ResetDB||0.01670910000029835|29/08/2020 13:16:25
ResetDB||0.023272399999768822|29/08/2020 13:21:05
ResetDB||0.018611299999975017|29/08/2020 13:22:04
ResetDB||0.0479204999992362|29/08/2020 13:25:03
ResetDB||0.03857930000049237|29/08/2020 13:32:28
ResetDB||0.03683650000130001|29/08/2020 13:32:33
ResetDB||0.018403800000669435|29/08/2020 13:33:10
ResetDB||0.016862800001035794|29/08/2020 13:36:18
ResetDB||0.020225299998855917|29/08/2020 13:36:58
ResetDB||0.021954899999400368|29/08/2020 13:37:48
CreateEmp|400|10.260521500000323|29/08/2020 13:37:58
ActionCreation|3|1.0576948999987508|29/08/2020 13:37:59
ResetDB||0.04553889999988314|29/08/2020 13:39:51
CreateEmp|300|5.948553600001105|29/08/2020 13:39:56
ActionCreation|3|0.825538900000538|29/08/2020 13:39:57
ResetDB||0.020256899999367306|29/08/2020 13:53:32
ResetDB||0.013736000000790227|29/08/2020 13:57:11
ResetDB||0.015055199999551405|29/08/2020 14:00:36
ResetDB||0.014449899999817717|29/08/2020 14:06:38
CreateEmp|300|6.539998500000365|29/08/2020 14:06:45
ResetDB||0.019308400000227266|29/08/2020 14:07:21
CreateEmp|300|6.36643340000046|29/08/2020 14:07:28
ResetDB||0.017419399999198504|29/08/2020 14:08:33
CreateEmp|300|5.842506699998921|29/08/2020 14:08:39
ActionCreation|3|0.8116821000003256|29/08/2020 14:08:40
ResetDB||0.02159620000020368|29/08/2020 14:09:12
ResetDB||0.015116599999601021|29/08/2020 14:12:21
CreateEmp|300|5.8372127000002365|29/08/2020 14:12:27
ActionCreation|3|0.7829825000007986|29/08/2020 14:12:28
ResetDB||0.05347830000027898|29/08/2020 14:13:45
CreateEmp|300|7.606459599999653|29/08/2020 14:13:53
ResetDB||0.06592020000061893|29/08/2020 14:16:11
CreateEmp|300|6.5723836999986815|29/08/2020 14:16:18
ResetDB||0.02049520000036864|29/08/2020 14:17:16
CreateEmp|300|6.085581400000592|29/08/2020 14:17:22
ActionCreation|3|0.7936445000013919|29/08/2020 14:17:23
ResetDB||0.03219579999858979|29/08/2020 14:22:34
CreateEmp|333|7.678683199999796|29/08/2020 14:22:42
ActionCreation|3|0.9147020999989763|29/08/2020 14:22:43
ResetDB||0.01942349999990256|29/08/2020 14:33:21
CreateEmp|334|6.960081299999729|29/08/2020 14:33:28
ActionCreation|3|0.9240051000015228|29/08/2020 14:33:29
ResetDB||0.018069499999910477|29/08/2020 14:35:34
CreateEmp|335|6.84850010000082|29/08/2020 14:35:40
ActionCreation|3|0.7613096999994013|29/08/2020 14:35:41
ResetDB||0.01909949999935634|29/08/2020 14:37:48
CreateEmp|501|10.207030800000211|29/08/2020 14:37:58
ActionCreation|3|1.2830234000011842|29/08/2020 14:37:59
ResetDB||0.03511670000079903|29/08/2020 14:44:05
CreateEmp|1000|20.208749600000374|29/08/2020 14:44:26
ActionCreation|5|4.20011070000146|29/08/2020 14:44:30
ResetDB||24.701575900000023|06/09/2020 21:03:16
CreateEmp|1005|21.458221900000012|06/09/2020 21:03:38
ActionCreation|3|2.336995199999933|06/09/2020 21:03:40
ResetDB||11.858673600000003|12/09/2020 21:36:18
CreateEmp|1500|35.18388660000001|12/09/2020 21:36:53
ActionCreation|3|3.699396500000006|12/09/2020 21:36:57
ResetDB||9.3678046|12/09/2020 21:39:12
CreateEmp|1001|20.84936369999997|12/09/2020 21:39:33
ActionCreation|3|2.5115948999999773|12/09/2020 21:39:36
ResetDB||17.821401400000013|15/09/2020 20:08:18
CreateEmp|2000|51.356025000000045|15/09/2020 20:09:09
ActionCreation|3|6.115985799999862|15/09/2020 20:09:16
ResetDB||4.409280899999999|15/09/2020 20:47:46
CreateEmp|1000|21.096557200000007|15/09/2020 20:48:08
ActionCreation|3|2.361515099999963|15/09/2020 20:48:10
ResetDB||10.443527599999982|15/09/2020 20:50:46
CreateEmp|1000|20.655256699999995|15/09/2020 20:51:07
ActionCreation|3|3.075181100000009|15/09/2020 20:51:10
ResetDB||25.600146600000016|19/09/2020 13:13:49
CreateEmp|1000|29.916902100000016|19/09/2020 13:14:19
ActionCreation|3|3.582119599999942|19/09/2020 13:14:23
ResetDB||0.05075490000001537|19/09/2020 13:14:29
CreateEmp|1000|24.84452060000001|19/09/2020 13:14:54
ActionCreation|2|1.9402377999999771|19/09/2020 13:14:56
